t_utc,t_unix,t_sclk_cor,t_tid,tid,orbit,focusmode,alt,lst,long,lat,sza,mass,species,cps_dt_bkd,abundance,precision,quality
2015-04-29T03:09:39,1430276978.650362,483548952.315315,4695.893662,15746,1123,csn,5.302087e+02,9.804722e+00,-2.383125e+01,-5.305411e+01,4.965390e+01,40,Ar,NaN,0.000000,1.000000,TSC:NIV
2015-04-29T03:09:41,1430276980.650560,483548954.315514,4697.893662,15746,1123,csn,5.283404e+02,9.810000e+00,-2.375665e+01,-5.295496e+01,4.954975e+01,40,Ar,0.000000,0.000000,1.000000,TSC:NIV
2015-04-29T03:09:43,1430276982.650760,483548956.315712,4699.893662,15746,1123,csn,5.264756e+02,9.815556e+00,-2.368235e+01,-5.285566e+01,4.944363e+01,40,Ar,0.000000,0.000000,1.000000,TSC:NIV
2015-04-29T03:09:45,1430276984.650960,483548958.315911,4701.893662,15746,1123,csn,5.246143e+02,9.821111e+00,-2.360835e+01,-5.275621e+01,4.933731e+01,40,Ar,0.000000,0.000000,1.000000,TSC:NIV
2015-04-29T03:09:47,1430276986.651161,483548960.316109,4703.893662,15746,1123,csn,5.227567e+02,9.826667e+00,-2.353465e+01,-5.265660e+01,4.923077e+01,40,Ar,37.039747,409.205416,0.164311,TSC:NIV
2015-04-29T03:09:49,1430276988.651361,483548962.316308,4705.893662,15746,1123,csn,5.209026e+02,9.831944e+00,-2.346124e+01,-5.255684e+01,4.912579e+01,40,Ar,37.039747,409.008792,0.164311,TSC:NIV
2015-04-29T03:09:51,1430276990.651561,483548964.316507,4707.893662,15746,1123,csn,5.190521e+02,9.837500e+00,-2.338812e+01,-5.245693e+01,4.901883e+01,40,Ar,0.000000,0.000000,1.000000,TSC:NIV
2015-04-29T03:09:53,1430276992.651761,483548966.316705,4709.893662,15746,1123,csn,5.172053e+02,9.842778e+00,-2.331529e+01,-5.235686e+01,4.891343e+01,40,Ar,0.000000,0.000000,1.000000,TSC:NIV
2015-04-29T03:09:55,1430276994.651961,483548968.316904,4711.893662,15746,1123,csn,5.153621e+02,9.848056e+00,-2.324275e+01,-5.225665e+01,4.880783e+01,40,Ar,0.000000,0.000000,1.000000,TSC:NIV
2015-04-29T03:09:57,1430276996.652160,483548970.317102,4713.893662,15746,1123,csn,5.135225e+02,9.853611e+00,-2.317050e+01,-5.215628e+01,4.870025e+01,40,Ar,74.082613,816.587936,0.116183,TSC:NIV
2015-04-29T03:09:59,1430276998.652360,483548972.317301,4715.893662,15746,1123,csn,5.116865e+02,9.858889e+00,-2.309853e+01,-5.205576e+01,4.859424e+01,40,Ar,0.000000,0.000000,1.000000,TSC:NIV
2015-04-29T03:10:01,1430277000.652561,483548974.317500,4717.893662,15746,1123,csn,5.098542e+02,9.864167e+00,-2.302685e+01,-5.195509e+01,4.848802e+01,40,Ar,0.000000,0.000000,1.000000,TSC:NIV
2015-04-29T03:10:03,1430277002.652761,483548976.317699,4719.893662,15746,1123,csn,5.080256e+02,9.869444e+00,-2.295545e+01,-5.185427e+01,4.838160e+01,40,Ar,0.000000,0.000000,1.000000,TSC:NIV
2015-04-29T03:10:05,1430277004.652961,483548978.317897,4721.893662,15746,1123,csn,5.062006e+02,9.874722e+00,-2.288433e+01,-5.175330e+01,4.827497e+01,40,Ar,37.039747,407.614448,0.164311,TSC:NIV
2015-04-29T03:10:07,1430277006.653161,483548980.318096,4723.893662,15746,1123,csn,5.043793e+02,9.880000e+00,-2.281348e+01,-5.165217e+01,4.816815e+01,40,Ar,37.039747,407.457395,0.164311,TSC:NIV
2015-04-29T03:10:09,1430277008.653361,483548982.318294,4725.893662,15746,1123,csn,5.025618e+02,9.885278e+00,-2.274292e+01,-5.155090e+01,4.806112e+01,40,Ar,0.000000,0.000000,1.000000,TSC:NIV
2015-04-29T03:10:11,1430277010.653561,483548984.318493,4727.893662,15746,1123,csn,5.007479e+02,9.890556e+00,-2.267263e+01,-5.144948e+01,4.795389e+01,40,Ar,37.039747,407.151673,0.164311,TSC:NIV
2015-04-29T03:10:13,1430277012.653762,483548986.318692,4729.893662,15746,1123,csn,4.989378e+02,9.895833e+00,-2.260262e+01,-5.134791e+01,4.784645e+01,40,Ar,74.082613,814.039296,0.116183,TSC:NIV
2015-04-29T03:10:15,1430277014.653962,483548988.318891,4731.893662,15746,1123,csn,4.971314e+02,9.900833e+00,-2.253287e+01,-5.124619e+01,4.774063e+01,40,Ar,37.039747,406.855526,0.164311,TSC:NIV
2015-04-29T03:10:17,1430277016.654161,483548990.319089,4733.893662,15746,1123,csn,4.953287e+02,9.906111e+00,-2.246340e+01,-5.114433e+01,4.763279e+01,40,Ar,0.000000,0.000000,1.000000,TSC:NIV
2015-04-29T03:10:19,1430277018.654361,483548992.319288,4735.893662,15746,1123,csn,4.935298e+02,9.911111e+00,-2.239420e+01,-5.104231e+01,4.752657e+01,40,Ar,37.039747,406.567341,0.164311,TSC:NIV
2015-04-29T03:10:21,1430277020.654561,483548994.319487,4737.893662,15746,1123,csn,4.917346e+02,9.916389e+00,-2.232527e+01,-5.094015e+01,4.741834e+01,40,Ar,0.000000,0.000000,1.000000,TSC:NIV
2015-04-29T03:10:23,1430277022.654761,483548996.319685,4739.893662,15746,1123,csn,4.899432e+02,9.921389e+00,-2.225660e+01,-5.083784e+01,4.731173e+01,40,Ar,148.205345,1625.651647,0.082143,TSC:NIV
2015-04-29T03:10:25,1430277024.654961,483548998.319884,4741.893662,15746,1123,csn,4.881556e+02,9.926667e+00,-2.218819e+01,-5.073538e+01,4.720310e+01,40,Ar,0.000000,0.000000,1.000000,TSC:NIV
2015-04-29T03:10:27,1430277026.655160,483549000.320082,4743.893662,15746,1123,csn,4.863718e+02,9.931667e+00,-2.212005e+01,-5.063278e+01,4.709609e+01,40,Ar,37.039747,406.009971,0.164311,TSC:NIV
2015-04-29T03:10:29,1430277028.655360,483549002.320281,4745.893662,15746,1123,csn,4.845919e+02,9.936667e+00,-2.205217e+01,-5.053003e+01,4.698890e+01,40,Ar,0.000000,0.000000,1.000000,TSC:NIV
2015-04-29T03:10:31,1430277030.655560,483549004.320480,4747.893662,15746,1123,csn,4.828157e+02,9.941667e+00,-2.198456e+01,-5.042713e+01,4.688151e+01,40,Ar,74.082613,811.512629,0.116183,TSC:NIV
2015-04-29T03:10:33,1430277032.655761,483549006.320679,4749.893662,15746,1123,csn,4.810433e+02,9.946944e+00,-2.191719e+01,-5.032409e+01,4.677209e+01,40,Ar,111.195882,1217.654822,0.094832,TSC:NIV
2015-04-29T03:10:35,1430277034.655961,483549008.320877,4751.893662,15746,1123,csn,4.792748e+02,9.951944e+00,-2.185009e+01,-5.022090e+01,4.666432e+01,40,Ar,0.000000,0.000000,1.000000,TSC:NIV
2015-04-29T03:10:37,1430277036.656161,483549010.321076,4753.893662,15746,1123,csn,4.775102e+02,9.956944e+00,-2.178324e+01,-5.011757e+01,4.655635e+01,40,Ar,0.000000,0.000000,1.000000,TSC:NIV
2015-04-29T03:10:39,1430277038.656361,483549012.321274,4755.893662,15746,1123,csn,4.757494e+02,9.961944e+00,-2.171665e+01,-5.001409e+01,4.644819e+01,40,Ar,37.039747,405.200745,0.164311,TSC:NIV
2015-04-29T03:10:41,1430277040.656561,483549014.321473,4757.893662,15746,1123,csn,4.739924e+02,9.966667e+00,-2.165031e+01,-4.991047e+01,4.634169e+01,40,Ar,0.000000,0.000000,1.000000,TSC:NIV
2015-04-29T03:10:43,1430277042.656762,483549016.321672,4759.893662,15746,1123,csn,4.722394e+02,9.971667e+00,-2.158421e+01,-4.980670e+01,4.623315e+01,40,Ar,37.039747,404.930852,0.164311,TSC:NIV
2015-04-29T03:10:45,1430277044.656962,483549018.321871,4761.893662,15746,1123,csn,4.704902e+02,9.976667e+00,-2.151837e+01,-4.970279e+01,4.612442e+01,40,Ar,111.195882,1215.225581,0.094832,TSC:NIV
2015-04-29T03:10:47,1430277046.657162,483549020.322070,4763.893662,15746,1123,csn,4.687450e+02,9.981667e+00,-2.145278e+01,-4.959874e+01,4.601551e+01,40,Ar,0.000000,0.000000,1.000000,TSC:NIV
2015-04-29T03:10:49,1430277048.657361,483549022.322268,4765.893662,15746,1123,csn,4.670037e+02,9.986389e+00,-2.138743e+01,-4.949454e+01,4.590826e+01,40,Ar,0.000000,0.000000,1.000000,TSC:NIV
2015-04-29T03:10:51,1430277050.657561,483549024.322467,4767.893662,15746,1123,csn,4.652663e+02,9.991389e+00,-2.132233e+01,-4.939020e+01,4.579897e+01,40,Ar,37.039747,404.392001,0.164311,TSC:NIV
2015-04-29T03:10:53,1430277052.657761,483549026.322665,4769.893662,15746,1123,csn,4.635328e+02,9.996111e+00,-2.125748e+01,-4.928572e+01,4.569136e+01,40,Ar,0.000000,0.000000,1.000000,TSC:NIV
2015-04-29T03:10:55,1430277054.657961,483549028.322864,4771.893662,15746,1123,csn,4.618033e+02,1.000111e+01,-2.119286e+01,-4.918109e+01,4.558169e+01,40,Ar,111.195882,1213.209339,0.094832,TSC:NIV
2015-04-29T03:10:57,1430277056.658161,483549030.323062,4773.893662,15746,1123,csn,4.600777e+02,1.000583e+01,-2.112849e+01,-4.907632e+01,4.547371e+01,40,Ar,74.082613,808.016563,0.116183,TSC:NIV
2015-04-29T03:10:59,1430277058.658360,483549032.323261,4775.893662,15746,1123,csn,4.583561e+02,1.001083e+01,-2.106435e+01,-4.897142e+01,4.536367e+01,40,Ar,37.039747,403.858607,0.164311,TSC:NIV
